,accession,deepwalk_embedding
12646,Q65G33,"[ 0.10946947 -0.0573779  -0.17287147  0.14534487  0.12233105  0.2646113
 -0.12247159 -0.01058686  0.43492913 -0.2000821   0.0840323   0.05258643
 -0.15652518 -0.09916699  0.21558712  0.2117229   0.22685984  0.25523102
  0.2916202   0.06056753  0.15619762  0.02596297  0.19403079 -0.09031954
  0.02185627 -0.26537144 -0.03003705 -0.2287596   0.08017775 -0.1227183
  0.30471012 -0.15786524 -0.12499501 -0.07617079  0.32979953 -0.21157303
  0.28838092  0.40169704  0.21576235  0.0707564  -0.25115907 -0.1223285
 -0.2728072   0.15083627  0.00990211  0.02581791  0.25747445  0.34822193
  0.08928667  0.03318344 -0.04234029 -0.16855495 -0.05785571  0.13473198
  0.19845508 -0.12266814 -0.00055235  0.2377551   0.17018762 -0.26834434
 -0.00140316  0.1329214  -0.13425323 -0.00665203  0.0564312   0.19438313
 -0.22066605  0.22443354 -0.13616364  0.22165267  0.04647288  0.190148
 -0.04168354  0.1968969  -0.16067685 -0.22962911 -0.05523131 -0.10955524
  0.12341465  0.12952168  0.26860717 -0.04901795 -0.17025484 -0.07220583
  0.1817145   0.13427193  0.16106337  0.18545626 -0.05126461  0.10842614
 -0.34227696  0.06820863 -0.11840241 -0.06554715  0.17663337  0.03222201
  0.081824   -0.04244036 -0.23378417 -0.17430021 -0.14743623 -0.06777735
 -0.1216094  -0.14098671  0.04047024 -0.14495432 -0.10271837  0.02399486
 -0.04136229  0.07297301  0.24622083 -0.11132759 -0.02199008  0.20835716
  0.05316579 -0.12750836  0.12065027  0.3584202  -0.07184217 -0.01265517
  0.10538504 -0.27597606  0.0394375  -0.1384209   0.09773175  0.01278397
 -0.00098787  0.3320284 ]"
21111,P39065,"[ 0.11010715 -0.05767493 -0.17396045  0.14601731  0.12317265  0.26635486
 -0.12328818 -0.01062222  0.4343538  -0.19993095  0.08375959  0.05260806
 -0.15632741 -0.09906746  0.21516435  0.21160084  0.22647458  0.25490177
  0.2913414   0.06037243  0.15604278  0.02593505  0.19384356 -0.09009977
  0.02178629 -0.2650367  -0.02984664 -0.22842877  0.08011636 -0.1226958
  0.30443162 -0.15778047 -0.12456258 -0.07588486  0.32830855 -0.21069832
  0.2871174   0.40001658  0.21493687  0.0704384  -0.25049964 -0.12204704
 -0.27219367  0.15058002  0.00989297  0.02581566  0.25688225  0.34748158
  0.08914238  0.03321579 -0.04216864 -0.16811591 -0.05773043  0.13449185
  0.19789784 -0.12239591 -0.00052496  0.23919281  0.17127454 -0.26998684
 -0.00140853  0.13376704 -0.13513008 -0.00662091  0.0568786   0.19558491
 -0.22195242  0.22573155 -0.1371505   0.22296464  0.04669109  0.19141662
 -0.04159185  0.19696008 -0.16056143 -0.22990775 -0.05523296 -0.10971556
  0.1234595   0.12963787  0.26868144 -0.04923642 -0.17032601 -0.07204576
  0.1818186   0.13439344  0.16120325  0.18562348 -0.05134103  0.1084619
 -0.34244955  0.06823221 -0.11837423 -0.06556384  0.17677525  0.03226804
  0.08177663 -0.04247659 -0.23377982 -0.17436215 -0.14747149 -0.06785906
 -0.12170231 -0.14096141  0.0404706  -0.14500327 -0.1027979   0.02404219
 -0.04139571  0.07301079  0.24642828 -0.11139187 -0.02201214  0.20846146
  0.0529875  -0.12760052  0.12068934  0.3585674  -0.07193848 -0.01268228
  0.10556944 -0.2760542   0.0393622  -0.13839564  0.09762632  0.01284766
 -0.00122148  0.33213222]"
20815,P26646,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
319,P36896,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
15051,Q61271,"[ 1.46804869e-01 -4.42902073e-02 -9.41942409e-02  1.49286464e-01
  1.42911851e-01  2.92008132e-01 -1.20863855e-01  1.59185212e-02
  4.42058623e-01 -1.27034545e-01  1.20465197e-01  6.07714429e-02
 -1.47312850e-01 -1.32982850e-01  3.31554413e-01  1.77682921e-01
  1.98629186e-01  3.02158147e-01  2.76710957e-01  6.81215674e-02
  9.06532779e-02  6.70553073e-02  2.31031895e-01 -1.49265900e-01
 -2.15138942e-02 -2.92139530e-01  1.04242370e-01 -2.96071947e-01
  1.48271173e-01 -1.33341312e-01  2.80925363e-01 -2.68893182e-01
 -7.00173751e-02 -9.56986919e-02  3.20601553e-01 -2.27465376e-01
  3.00514281e-01  3.67203891e-01  3.55931073e-01  5.96894845e-02
 -2.68212557e-01 -1.80866808e-01 -3.65829289e-01  1.74286231e-01
  3.39294598e-02 -6.02585338e-02  2.56887764e-01  3.12300712e-01
  4.60755825e-02  1.25448108e-01 -1.02641620e-01 -1.30585551e-01
 -6.06462620e-02  7.98117146e-02  2.41345435e-01 -1.45226523e-01
  1.43629697e-03  3.15637767e-01  1.35477990e-01 -3.43108982e-01
  1.08982660e-02  2.54095554e-01 -2.10792050e-01 -2.00671726e-04
 -3.14227917e-04  2.02382132e-01 -2.13222191e-01  2.03572035e-01
 -7.40211681e-02  3.23309958e-01  1.04422577e-01  3.05253327e-01
 -8.60927328e-02  1.39147729e-01 -1.85136542e-01 -1.22470155e-01
 -1.12741150e-01 -1.53147489e-01  1.56316698e-01  9.82032567e-02
  2.33325750e-01 -6.33700788e-02 -2.09016606e-01 -1.39643326e-01
  1.17969058e-01  1.26881599e-01  2.25498468e-01  2.46339604e-01
 -5.59094697e-02  7.92393833e-02 -3.58638942e-01  8.72733742e-02
 -1.46441996e-01 -1.02992319e-01  8.84168223e-02 -5.00152968e-02
  1.52256325e-01 -8.15809295e-02 -2.71422148e-01 -2.53026038e-01
 -2.53314763e-01 -9.48733836e-02 -1.13111928e-01 -1.51121169e-01
  3.13331112e-02 -2.31475085e-01 -1.05231509e-01  2.14928538e-02
 -1.30571857e-01  7.11123645e-02  2.08721668e-01 -9.24801603e-02
  1.53900078e-02  2.92173386e-01  5.95009215e-02 -1.36563390e-01
  1.62889257e-01  3.50739896e-01 -4.16099466e-02  9.95650068e-02
  1.43065616e-01 -4.56548661e-01  8.74147937e-02 -2.11345807e-01
  1.76996857e-01 -2.31983624e-02 -2.22838819e-02  2.58415818e-01]"
20832,P80202,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
1342,Q8NER5,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
21091,P70539,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
16095,P37023,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
959,P80203,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
14487,Q90ZK6,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
31437,Q04771,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
29704,P37172,"[ 1.46366939e-01 -4.41547632e-02 -9.41468254e-02  1.49522945e-01
  1.42008260e-01  2.91363418e-01 -1.19846389e-01  1.57572888e-02
  4.46509361e-01 -1.27934575e-01  1.22096352e-01  6.16139919e-02
 -1.48872584e-01 -1.34844869e-01  3.35360020e-01  1.79416686e-01
  2.00385079e-01  3.05729836e-01  2.80139029e-01  6.90745115e-02
  9.15494263e-02  6.85630739e-02  2.33600497e-01 -1.51236311e-01
 -2.21420340e-02 -2.95527697e-01  1.05259575e-01 -2.99903959e-01
  1.49282247e-01 -1.35069028e-01  2.83945858e-01 -2.72401601e-01
 -7.03070536e-02 -9.63054076e-02  3.21810752e-01 -2.28776380e-01
  3.05385292e-01  3.72359842e-01  3.61313432e-01  6.03101775e-02
 -2.73247153e-01 -1.84130192e-01 -3.72036159e-01  1.76640168e-01
  3.46362777e-02 -6.13879561e-02  2.58418620e-01  3.12985629e-01
  4.56987359e-02  1.26493663e-01 -1.03027128e-01 -1.31302401e-01
 -6.11983128e-02  7.93111026e-02  2.42079854e-01 -1.46160781e-01
  2.25885329e-03  3.16660404e-01  1.35345727e-01 -3.44213784e-01
  1.03274984e-02  2.55311757e-01 -2.12033018e-01  3.75178846e-04
 -3.77722899e-04  2.02389270e-01 -2.13879704e-01  2.03581795e-01
 -7.35044405e-02  3.23300391e-01  1.03748158e-01  3.05613309e-01
 -8.58056247e-02  1.39547780e-01 -1.85751036e-01 -1.22541890e-01
 -1.12968616e-01 -1.53153360e-01  1.57076001e-01  9.78179052e-02
  2.33789101e-01 -6.36843666e-02 -2.09842220e-01 -1.39930472e-01
  1.17643997e-01  1.26193225e-01  2.25935072e-01  2.46640563e-01
 -5.54312207e-02  7.95178264e-02 -3.59008431e-01  8.73392746e-02
 -1.46624953e-01 -1.03348725e-01  8.83464515e-02 -5.03444448e-02
  1.48977518e-01 -8.02950934e-02 -2.65913010e-01 -2.47779384e-01
 -2.47774392e-01 -9.22427550e-02 -1.10170610e-01 -1.48630917e-01
  3.09900977e-02 -2.26162240e-01 -1.02169909e-01  2.05630530e-02
 -1.26842618e-01  6.86590225e-02  2.03329444e-01 -9.04110000e-02
  1.53657142e-02  2.85080463e-01  5.80857918e-02 -1.33334488e-01
  1.58598229e-01  3.42252463e-01 -4.05238606e-02  9.74858701e-02
  1.39288455e-01 -4.45643634e-01  8.61356780e-02 -2.06316322e-01
  1.72886238e-01 -2.28492897e-02 -2.12994423e-02  2.51789808e-01]"
18051,P80201,"[ 1.48097858e-01 -4.46264111e-02 -9.53546837e-02  1.51521429e-01
  1.43628284e-01  2.95200586e-01 -1.21410556e-01  1.58290528e-02
  4.45816845e-01 -1.27549723e-01  1.22009128e-01  6.16530739e-02
 -1.48946702e-01 -1.34836093e-01  3.34929407e-01  1.79314613e-01
  2.00503051e-01  3.05664778e-01  2.80145943e-01  6.92785010e-02
  9.15242136e-02  6.86016083e-02  2.33585969e-01 -1.51309729e-01
 -2.24392265e-02 -2.95463592e-01  1.05027638e-01 -2.99941987e-01
  1.49236605e-01 -1.34963021e-01  2.84040570e-01 -2.72155493e-01
 -7.15297088e-02 -9.81292427e-02  3.26853454e-01 -2.32580513e-01
  3.07408631e-01  3.74599487e-01  3.63445193e-01  6.09652475e-02
 -2.74883330e-01 -1.85280696e-01 -3.74123931e-01  1.77605227e-01
  3.48108299e-02 -6.18259087e-02  2.59622306e-01  3.14372927e-01
  4.57913019e-02  1.26831025e-01 -1.03319921e-01 -1.31299198e-01
 -6.14818744e-02  7.94800371e-02  2.42499083e-01 -1.46498352e-01
  2.16913177e-03  3.17707360e-01  1.35768816e-01 -3.45301926e-01
  1.02987634e-02  2.56855279e-01 -2.13327110e-01  2.79829488e-04
 -5.26043528e-04  2.00551733e-01 -2.12185457e-01  2.01954693e-01
 -7.27323517e-02  3.20511967e-01  1.02720290e-01  3.02930862e-01
 -8.46681967e-02  1.38030499e-01 -1.83708072e-01 -1.21126123e-01
 -1.11576095e-01 -1.51370004e-01  1.55391037e-01  9.64481235e-02
  2.31523216e-01 -6.31325990e-02 -2.07786337e-01 -1.38505310e-01
  1.16319627e-01  1.25015065e-01  2.23700389e-01  2.44132131e-01
 -5.48294373e-02  7.88997114e-02 -3.55416894e-01  8.62429217e-02
 -1.45026937e-01 -1.02332100e-01  8.75367522e-02 -5.00077605e-02
  1.49639159e-01 -8.04197639e-02 -2.66993970e-01 -2.48912305e-01
 -2.48570710e-01 -9.24885869e-02 -1.10382989e-01 -1.49395809e-01
  3.10047381e-02 -2.26943538e-01 -1.02334961e-01  2.06761789e-02
 -1.27305970e-01  6.89274892e-02  2.03897670e-01 -9.05821398e-02
  1.56308059e-02  2.85988599e-01  5.81350029e-02 -1.33868858e-01
  1.59096658e-01  3.43554407e-01 -4.04681936e-02  9.78826582e-02
  1.39915779e-01 -4.47364688e-01  8.64700153e-02 -2.06955686e-01
  1.73846170e-01 -2.32382603e-02 -2.12589316e-02  2.52708316e-01]"
21671,Q8RM04,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
16616,Q8RM03,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
25865,Q8RM02,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
21629,Q6AYS7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
22163,Q6PTT0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
19320,Q03154,"[ 0.14336798 -0.04334315 -0.09235509  0.14670005  0.13921255  0.28567937
 -0.11728124  0.0153099   0.44236442 -0.12676351  0.12093181  0.06107391
 -0.14759666 -0.1337333   0.3322334   0.17774768  0.1980937   0.30226153
  0.27708137  0.0684104   0.09058026  0.06789652  0.23104459 -0.14959358
 -0.02208826 -0.29211995  0.103995   -0.29637742  0.14744166 -0.13352527
  0.28074008 -0.26926103 -0.07042243 -0.0964552   0.32194218 -0.22903149
  0.3027765   0.36887738  0.35799435  0.05981549 -0.27058822 -0.18212822
 -0.36805487  0.17477785  0.03439092 -0.06098868  0.25586286  0.309666
  0.04511996  0.1252339  -0.10190438 -0.12996672 -0.0607186   0.07841398
  0.23951134 -0.14466643  0.00237513  0.31373546  0.13402095 -0.34082246
  0.00997306  0.252934   -0.21019109  0.00053712 -0.00047414  0.20175251
 -0.21339111  0.20308737 -0.0732219   0.32251793  0.10332638  0.30495876
 -0.08569074  0.13981679 -0.18595077 -0.12273309 -0.11306345 -0.15332776
  0.15726113  0.09776469  0.23404819 -0.06378967 -0.21011    -0.13992062
  0.11753993  0.12616488  0.22599675  0.2467124  -0.05539043  0.07954644
 -0.35917103  0.08727241 -0.14663884 -0.10336057  0.0884241  -0.05041412
  0.15240318 -0.08208612 -0.27196443 -0.25350526 -0.25333977 -0.09420471
 -0.11260648 -0.1520917   0.03159081 -0.23157723 -0.10442194  0.02111784
 -0.12983589  0.07036249  0.20799892 -0.0924212   0.01589096  0.29255974
  0.05958216 -0.13694388  0.16280513  0.3514863  -0.04146219  0.10012998
  0.14311327 -0.45766208  0.08838958 -0.2117133   0.177665   -0.02370244
 -0.02184267  0.25856107]"
26957,P45381,"[ 1.49331778e-01 -4.49920408e-02 -9.59710479e-02  1.52505353e-01
  1.44933328e-01  2.97297448e-01 -1.22252673e-01  1.60947591e-02
  4.48441178e-01 -1.28483102e-01  1.22557461e-01  6.17906451e-02
 -1.49582922e-01 -1.35457084e-01  3.36761534e-01  1.80237040e-01
  2.00956538e-01  3.06572586e-01  2.80937910e-01  6.93652034e-02
  9.18374658e-02  6.87925369e-02  2.34364256e-01 -1.51623681e-01
 -2.22190283e-02 -2.96102196e-01  1.05470888e-01 -3.00394744e-01
  1.49520829e-01 -1.35398701e-01  2.84564942e-01 -2.72987604e-01
 -7.00792596e-02 -9.58707035e-02  3.20626169e-01 -2.27972731e-01
  3.01358044e-01  3.67270321e-01  3.56410801e-01  5.94901368e-02
 -2.71257222e-01 -1.82696417e-01 -3.69296819e-01  1.75341755e-01
  3.43431085e-02 -6.09714389e-02  2.56468117e-01  3.10578674e-01
  4.53514121e-02  1.25614554e-01 -1.02222040e-01 -1.30420864e-01
 -6.08280078e-02  7.87169635e-02  2.40287885e-01 -1.45127222e-01
  2.34254054e-03  3.14963609e-01  1.34545967e-01 -3.42326850e-01
  1.02026379e-02  2.53893673e-01 -2.10942432e-01  4.39834839e-04
 -3.13692668e-04  1.99978292e-01 -2.11324140e-01  2.01087132e-01
 -7.26336762e-02  3.19392174e-01  1.02411926e-01  3.01999003e-01
 -8.47190320e-02  1.37886092e-01 -1.83492273e-01 -1.21161968e-01
 -1.12354144e-01 -1.52326241e-01  1.56171754e-01  9.72850695e-02
  2.32569799e-01 -6.33641407e-02 -2.08751231e-01 -1.39128670e-01
  1.16998956e-01  1.25480846e-01  2.24764735e-01  2.45336771e-01
 -5.51368482e-02  7.90323019e-02 -3.57113421e-01  8.69014040e-02
 -1.45601332e-01 -1.02641806e-01  8.78026038e-02 -4.99438941e-02
  1.50036648e-01 -8.08301270e-02 -2.67676204e-01 -2.49477491e-01
 -2.49446943e-01 -9.28880647e-02 -1.10995837e-01 -1.49643719e-01
  3.12789492e-02 -2.28695571e-01 -1.03324890e-01  2.08060723e-02
 -1.28245533e-01  6.94524050e-02  2.05574915e-01 -9.14049819e-02
  1.55683160e-02  2.88673848e-01  5.88429496e-02 -1.34996504e-01
  1.60578907e-01  3.46649349e-01 -4.09440733e-02  9.86484438e-02
  1.41078293e-01 -4.51342255e-01  8.71496573e-02 -2.08895177e-01
  1.75133795e-01 -2.32206304e-02 -2.16190796e-02  2.54947633e-01]"
25123,Q8R3P0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
